city,total_orders,total_revenue,average_order_value
Perezchester,2,408.03,204.015
West Kristinashire,1,171.72,171.72
Kennethland,4,868.8,217.2
East Chelsealand,1,212.9,212.9
Reneetown,2,443.76,221.88
Vaughntown,2,229.79,114.895
Cabreramouth,2,301.62,150.81
Taylorside,7,2279.04,325.577142857143
Shortport,1,94.76,94.76
North Victoria,7,950.09,135.727142857143
Johnmouth,17,5147.81,302.812352941176
Hawkinschester,1,218.59,218.59
Lake Victorialand,1,51.26,51.26
Hartfurt,3,936.31,312.103333333333
East Timothy,9,2009.28,223.253333333333
South Gregory,9,2316.19,257.354444444444
West Danaland,1,429.76,429.76
Larsenside,1,145.7,145.7
Port Catherineside,1,354.38,354.38
Blanchardtown,1,183.6,183.6
New Angela,16,4019.73,251.233125
Port Samanthaborough,1,102.28,102.28
Heatherville,2,505.82,252.91
New Donaldfort,1,475.76,475.76
Castilloton,3,696.47,232.156666666667
North Brendanville,1,64.6,64.6
New Marisa,1,171.51,171.51
Cookland,1,305.92,305.92
North Williamside,2,507.42,253.71
Spencerland,2,571.04,285.52
Parksborough,1,263.26,263.26
East Sharon,5,1152.79,230.558
Dawnview,3,695.02,231.673333333333
Higginsfurt,1,289.62,289.62
Jenniferland,9,2541.89,282.432222222222
South Sandra,6,1005.1,167.516666666667
Patelstad,1,220.02,220.02
North Derekmouth,1,156.24,156.24
Kristintown,2,563.18,281.59
Raymondchester,2,373.0,186.5
South Sherry,3,296.96,98.9866666666667
Lake Kaylatown,1,278.89,278.89
Lynntown,2,844.68,422.34
Chelseachester,3,688.45,229.483333333333
Saraton,1,124.48,124.48
Anitashire,3,662.14,220.713333333333
Port Jillian,2,515.85,257.925
New Danielle,8,1912.97,239.12125
Port Anthony,12,2456.91,204.7425
Feliciabury,1,37.0,37.0
West Jakeburgh,1,151.32,151.32
North Joshualand,1,298.3,298.3
Port Codyburgh,1,421.12,421.12
Carlsonside,3,787.68,262.56
Charlesland,6,1355.45,225.908333333333
North Johnside,3,941.61,313.87
New Jasonfort,1,53.24,53.24
Vasqueztown,2,655.07,327.535
Traviston,5,1102.97,220.594
East Beverly,2,696.49,348.245
North Jackie,1,484.01,484.01
Glenport,1,485.61,485.61
